Real_Rating,Raw_star_rating,Text,RNN_raw,RNN_Class,CNN_raw,CNN_Class,Logistic_Regression_raw,Logistic_Regression_Class,Naive_Bayes_raw,Naive_Bayes_Class,Random_Forest_raw,Random_Forest_Class,NLTK_raw,NLTK_Class,TextBlob_raw,TextBlob_Class
Positive,5.0,"['wag', 'chicken', 'flavor', 'train', 'treat', 'dog', 'great', 'valu', 'price', 'easi', 'use', 'work', 'seamlessli', 'dog’', 'train', 'routin', 'recent', 'tri', 'wag', 'chicken', 'flavor', 'train', 'treat', 'dog', 'pleasantli', 'surpris', 'well', 'work', 'use', 'train', 'chihuahua', 'cold', 'outsid', 'didn’t', 'want', 'go', 'potti', 'break', 'treat', 'irresist', 'help', 'train', 'effect', 'treat', 'made', 'highqual', 'ingredi', 'design', 'provid', 'delici', 'nutriti', 'snack', 'furri', 'friend', 'easi', 'chew', 'perfectli', 'size', 'train', 'purpos', 'overal', 'highli', 'recommend', 'wag', 'chicken', 'flavor', 'train', 'treat', 'dog', 'anyon', 'want', 'train', 'dog', 'effect', 'highqual', 'product', 'afford', 'easi', 'use']",5,Positive,4,Positive,5.0,Positive,5.0,Positive,5.0,Positive,0.0,Neutral,-0.26666666666666666,Negative
Positive,5.0,"['accord', 'descript', 'suppos', 'semi', 'soft', 'definit', 'updat', 'roll', 'finger', 'soften', 'enough', 'older', 'dog', 'love', 'smell', 'tast', 'buy']",5,Positive,5,Positive,5.0,Positive,5.0,Positive,5.0,Positive,0.0,Neutral,0.19166666666666665,Positive
Positive,5.0,"['recent', 'discov', 'great', 'invest', 'two', 'energet', 'huski', 'treat', 'becom', 'invalu', 'tool', 'train', 'walk', 'disciplin', 'learn', 'new', 'trick', 'huski', 'love', 'tast', 'vouch', 'palat', '–', 'ye', 'ive', 'tri', 'afford', '1', 'lb', 'bag', 'make', 'practic', 'choic', 'consist', 'train', 'session', 'treat', 'perform', 'except', 'well', 'motiv', 'reward', 'desir', 'behavior', 'result', 'two', 'happi', 'sharp', 'huski', 'look', 'forward', 'train', 'session', 'opinion', 'seamlessli', 'blend', 'efficaci', 'afford', 'irresist', 'tast', 'make', 'musthav', 'everi', 'dog', 'owner', 'aim', 'wellbehav', 'content', 'canin', 'companion', 'hope', 'help']",5,Positive,5,Positive,5.0,Positive,5.0,Positive,5.0,Positive,0.0,Neutral,0.2622727272727273,Positive
Positive,4.0,"['ive', 'bought', 'product', 'twice', 'far', '40lb', 'huski', 'pro', '', 'ingredi', 'qualiti', 'pretti', 'decent', 'chicken', 'first', 'ingredi', 'provid', 'bit', 'assur', 'product', 'isnt', 'filler', '', 'size', 'great', 'fit', 'bunch', 'treat', 'pouchsandwich', 'bag', 'make', 'easi', 'carri', 'around', 'bulk', 'individu', 'pellet', 'would', 'say', 'circumfer', 'mm', 'twice', 'stack', '', 'feed', 'dog', 'lot', 'help', 'train', 'depend', 'dog', 'size', 'weight', 'feed', 'estim', 'locat', 'back', 'bag', 'product', 'descript', 'onlin', 'give', 'understand', 'healthi', 'amount', 'con', '', 'bag', 'seem', 'lot', 'crumb', 'bottom', 'inevit', 'im', 'deduct', 'point', '', 'good', 'train', 'supplement', 'smaller', 'dog', 'main', 'con', 'product', 'small', 'dog', '515lb', 'eat', '05', 'accord', 'recommend', 'cant', 'realli', 'much', 'treatrel', 'train', 'limit', '5', 'treat', 'would', 'suggest', 'mayb', 'dice', 'carrot', 'feed', 'smaller', 'dog', 'train', 'treat', 'dog', 'enjoy', 'carrotsveggi', 'carrot', 'would', 'lowcalori', 'treat', 'feed', 'decent', 'amount', 'train', 'allinal', '', 'decent', 'qualiti', 'product', 'ingredientwis', 'good', 'train', 'tool', 'larger', 'dog', 'smaller', 'dog', 'would', 'recommend', 'much', 'train', 'treat', '5', 'treat', 'recommend', 'limit']",4,Positive,4,Positive,4.0,Positive,4.0,Positive,4.0,Positive,0.0,Neutral,0.17833333333333332,Positive
Positive,5.0,"['recent', 'adopt', '8', 'month', 'old', '31', 'lb', 'alaskan', 'malamut', 'mix', 'pup', 'need', 'train', 'obvious', 'hous', 'train', 'could', 'take', 'walk', 'walk', 'shed', 'hardli', 'go', 'got', 'insid', 'got', 'keep', 'small', 'baggi', 'pocket', 'get', 'reward', 'right', 'away', 'goe', 'bathroom', 'outsid', 'work', 'great', 'accid', 'insid', 'last', 'day', 'goe', 'right', 'away', 'outsid', 'look', 'reward', 'also', 'play', 'ball', 'would', 'bring', 'back', 'want', 'chase', 'pop', 'hand', 'run', 'right', 'back', 'sit', 'hand', 'ball', 'effect', 'reward', 'small', 'without', 'overload', 'bigger', 'treat', 'order', 'second', 'bag']",5,Positive,4,Positive,5.0,Positive,5.0,Positive,5.0,Positive,0.0,Neutral,0.08979591836734693,Positive
Positive,5.0,"['best', 'treat', 'train', 'dog', 'love', 'aren’t', 'super', 'expens', 'small', 'small', 'size', 'make', 'easi', 'longer', 'train', 'session', 'dog', 'aren’t', 'go', 'get', 'full', 'easili', 'dog', 'love', 'bone', 'treat']",5,Positive,5,Positive,5.0,Positive,5.0,Positive,5.0,Positive,0.0,Neutral,0.31190476190476185,Positive
Positive,5.0,"['instruct', 'otherwis', 'treat', 'work', 'puppi', 'small', 'enough', 'dont', 'break', 'piec', 'firm', 'enough', 'give', 'bite', 'instead', 'swallow', 'conveni', 'us', 'carri', 'small', 'pouch', 'pocket', 'without', 'worri', 'melt', 'crush', 'crumb', 'auto', 'refil', 'alway', 'hand', 'worri', 'whether', 'find', 'someth', 'agreeabl', 'store', 'shelv', 'happen', 'frequent', 'hasslew', 'love']",5,Positive,5,Positive,5.0,Positive,5.0,Positive,5.0,Positive,0.0,Neutral,-0.014285714285714282,Negative
Neutral,3.0,"['two', 'dog', 'search', 'perfect', 'train', 'treat', 'one', 'dog', '70', 'lb', 'didnt', 'work', 'especi', 'sinc', 'crumbl', 'realli', 'easili', 'okay', 'small', 'dog', 'fall', 'apart', 'easili', 'got', 'bottom', 'bag', 'wasnt', 'realli', 'usabl']",3,Neutral,3,Neutral,3.0,Neutral,3.0,Neutral,3.0,Neutral,0.0,Neutral,0.4166666666666667,Positive
Positive,4.0,"['qualiti', '⭐️⭐️⭐️⭐️⚪️', 'valu', '⭐️⭐️⭐️⭐️⚪️', 'overal', 'rate', '⭐️⭐️⭐️⭐️⚪️', 'like', 'treat', 'valu', 'given', 'amount', 'come', 'bag', 'directionsrecommend', 'amount', 'help', 'pars', 'treat', 'base', 'size', 'dog', 'warn', 'smaller', 'dog', 'train', 'session', 'limit', 'follow', 'guidanc', 'seem', 'like', 'treat', 'decent', 'reward', 'dog', 'necessarili', 'high', 'valu', 'thu', 'good', 'everyday', 'work', 'treat', 'one', 'big', 'gripe', 'smell', 'treat', 'strong', 'odor', 'assum', 'due', 'ingredi', 'big', 'fan', 'smell', 'treat', 'weve', 'tri', 'may', 'valu', 'also', 'dont', 'strong', 'scent']",4,Positive,4,Positive,4.0,Positive,4.0,Positive,4.0,Positive,0.0,Neutral,0.06984848484848483,Positive
Positive,5.0,"['discov', 'treat', 'dog', '1s', 'physic', 'therapi', 'center', 'dog', 'love', 'transit', 'away', 'incred', 'high', 'valu', 'treat', 'intens', 'train', 'lower', 'calori', 'treat', 'work', 'great', 'start', 'train', 'dog', '2', 'zero', 'highli', 'anxiou', 'high', 'energi', 'super', 'intellig', 'super', 'traumat', 'shelter', 'dog', 'need', 'super', 'high', 'valu', 'treat', 'make', 'impress', 'trainer', 'show', 'chicken', 'salami', 'pepperoni', 'string', 'chees', 'trick', 'focu', 'dog', 'train', 'problemat', 'also', 'high', 'calori', 'month', 'she', 'respond', 'beauti', 'train', 'also', 'gain', 'weight', 'want', 'gain', 'love', 'treat', 'abl', 'drop', 'calori', 'count', 'train', 'dramat', 'well', 'littl', 'easier', 'stomach']",5,Positive,4,Positive,5.0,Positive,5.0,Positive,5.0,Positive,0.0,Neutral,0.22833333333333336,Positive
